Id,N,P,K,Ca,Mg,S,Fe,Cu,Mn,Zn,B,Mo,Na,Cl
1,1.4,0.13,0.7,1.93,0.53,0.29,251,6.9,94,97,42,0.5,250,348
2,1.51,0.14,0.82,1.69,0.48,0.25,300,6,107,58,45,1.2,347.07,376
3,1.44,0.13,1.11,1.54,0.51,0.32,238,5.5,197,209,78,0.1,250,666
4,1.64,0.12,0.72,2.23,0.49,0.38,370,5.2,125,130,42,0.7,250,580
5,1.71,0.16,0.87,2.27,0.51,0.3,395,6.7,127,73,45,2.1,250,773
6,1.61,0.16,0.85,2.25,0.5,0.3,408,6.3,127,74,40,1.4,250,825
7,2.12,0.18,1.19,3.1,0.62,0.37,171,102,85,166,102,0.2,250,420
8,2.41,0.21,0.95,2.75,0.52,0.36,212,18,226,139,84,0.1,250,823
9,2.41,0.23,1.42,2.37,0.48,0.4,243,59,194,129,84,0.1,250,1466
10,2.07,0.22,1.43,2.29,0.47,0.39,236,57,193,128,83,0.2,250,1501
11,2.11,0.21,1.47,2.08,0.49,0.39,207,114,126,133,87,0.3,250,1069
12,2.07,0.2,0.78,2.78,0.54,0.37,305,17,279,189,66,0.1,250,1257
13,1.77,0.2,1.14,2.91,0.63,,259,40,189,298,127,0.2,250,1610
14,2.13,0.2,1.36,2.62,0.52,0.46,309,61,162,155,75,0.1,250,2021
15,2.23,0.2,1.28,2.13,0.53,0.68,315,62,222,185,94,0.1,250,2131
16,2.17,0.22,1.27,2.3,0.47,,396,98,193,148,74,0.1,250,1829
17,3.16,0.22,0.78,1.96,0.49,0.25,190,6.66,144,36.1,60,0.1,250,300
18,2.74,0.22,0.73,1.8,0.45,0.21,206,7.16,258,28.2,46.3,0.1,250,300
19,2.9,0.22,0.93,2.43,0.39,0.22,134,6.59,116,33.9,54.9,0.1,250,300
20,2.69,0.23,0.71,2.37,0.55,0.22,169,9.36,182,37.1,56.1,0.1,250,300
21,3.13,0.26,0.86,2.29,0.48,0.23,137,7.16,90.4,29.8,66,0.1,250,300
22,2.13,0.15,0.91,1.59,0.47,0.37,134,46,149,59,103,0.1,250,608
23,3.07,0.23,0.92,2.35,0.7,0.25,165,7,243,22,58,0.1,250,300
24,1.97,0.15,1.01,1.62,0.46,0.35,114,40,138,56,98,0.1,250,1238
25,3.17,0.22,0.79,1.9,0.56,0.27,206,6.91,225,35.1,49.6,0.1,250,300
26,2.09,0.17,0.58,2.07,0.5,0.21,186,4.6,247,39,45,0.1,250,311
27,2.09,0.18,0.55,2.71,0.56,0.18,193,4.6,72,28,27,0.1,250,300
28,1.8,0.14,0.58,2.32,0.5,0.15,178,4.5,70,36,36,0.1,250,394
29,1.75,0.16,0.9,2.45,0.49,0.29,162,6.5,59,110,71,0.1,250,300
30,1.91,0.14,0.48,2.67,0.55,0.24,119,3.9,61,42,27,0.1,250,300
31,2.16,0.14,0.81,1.61,0.39,0.18,173,4.6,103,63,32,0.1,250,533
32,1.8,0.15,0.89,2.06,0.43,0.23,202,5.9,84,59,43,0.1,250,327
33,1.88,0.14,0.74,2.18,0.53,0.22,200,4.5,126,155,36,0.1,250,307
34,1.45,0.18,0.74,2.33,0.49,0.9,347,4.8,252,51,35,0.1,250,300
35,1.66,0.17,0.6,2.51,0.59,0.19,310,5.9,84,35,47,0.3,250,747
36,2.1,0.17,0.57,2.5,0.56,0.19,342,6.8,85,34,49,0.4,250,556
37,1.81,0.17,0.8,2.61,0.5,0.23,204,5.8,49,91,46,0.1,250,367
38,2.16,0.15,0.91,2.45,0.49,0.24,287,21,154,33,43,1,250,300
39,1.75,0.14,0.63,2.91,0.55,0.18,252,4,52,34,26,0.6,250,495
40,1.34,0.18,0.71,2.6,0.67,0.32,301,4.9,61,101,19,0.2,250,300
41,1.6,0.19,0.77,2.42,0.52,0.29,331,4.9,252,52,37,0.2,250,332
42,1.85,0.22,1.21,1.87,0.46,0.31,251,7.4,118,45,73,0.1,250,424
43,1.2,0.15,0.92,2.44,0.6,0.26,284,3.8,125,152,33,0.1,250,368
44,2.22,0.19,1.21,2.62,0.64,0.33,154,93,166,204,103,0.2,250,620
45,2.05,0.2,1.16,3.47,0.68,0.35,166,97,197,197,96,0.1,250,367
46,2.13,0.2,1.16,2.67,0.65,0.38,197,124,77,116,108,0.3,250,767
47,2.12,0.19,1.16,3.29,0.67,0.39,192,113,95,183,108,0.5,250,450
48,1.99,0.21,1.24,2.87,0.67,0.39,203,129,81,110,112,3,250,715
49,1.96,0.18,1.06,2.43,0.56,0.32,154,102,63,99,92,0.2,250,637
50,2.48,0.21,1.36,2.25,0.56,0.4,180,124,126,131,100,0.5,250,856
51,2.31,0.23,1.67,2.3,0.55,0.43,217,124,134,130,98,0.5,250,1024
52,2.3,0.2,1.38,2.84,0.7,0.36,187,106,188,235,112,0.2,250,627
53,2.23,0.21,1.31,2.21,0.54,0.37,187,99,131,128,97,0.3,250,748
54,2.01,0.17,0.82,2.56,0.47,0.34,225,80,178,97,70,0.3,250,406
55,1.87,0.27,0.94,2.44,0.46,0.34,184,77,189,125,88,0.1,250,466
56,2.05,0.17,0.81,3.65,0.59,0.25,219,82,86,42,57,0.4,250,407
57,1.88,0.19,0.9,2.82,0.61,,187,98,88,120,62,0.4,250,745
58,1.71,0.16,1.05,2.48,0.53,,283,113,82,118,91,0.6,250,418
59,1.94,0.16,0.95,2.87,0.51,0.38,225,85,82,131,70,0.1,250,400
60,1.75,0.13,1,2.68,0.57,0.41,194,115,219,169,85,,250,577
61,2.24,0.18,1.06,2.01,0.43,0.36,263,80,110,135,55,0.2,250,712
62,2.17,0.16,0.92,2.01,0.52,0.46,174,76,148,255,78,0.4,250,752
63,2.17,0.17,1.12,1.56,0.36,0.34,231,104,114,105,57,0.1,250,974
64,2.32,0.18,1.28,1.66,0.38,,280,110,121,98,69,0.8,250,1139
